Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  50  65   N-S     2.68064 A  
  53  68   N-S     2.68064 A  
  58  69   N-S     2.68064 A  
  59  70   N-S     2.68064 A  
  32  68   H-S     2.72899 A  
  13  65   H-S     2.72899 A  
  37  69   H-S     2.72899 A  
  44  70   H-S     2.72899 A  
  15  63   H-S     2.73006 A  
  16  64   H-S     2.73006 A  
  35  66   H-S     2.73006 A  
  36  67   H-S     2.73006 A  
  15  26   H-H     2.77415 A  
  16  27   H-H     2.77415 A  
  28  35   H-H     2.77415 A  
  29  36   H-H     2.77415 A  
  13  21   H-H     2.77476 A  
  22  32   H-H     2.77476 A  
  37  41   H-H     2.77476 A  
  42  44   H-H     2.77476 A  
  22  63   H-S     2.78874 A  
  21  67   H-S     2.78874 A *
  41  64   H-S     2.78874 A *
  42  66   H-S     2.78874 A *
  26  68   H-S     2.78990 A *
  29  65   H-S     2.78990 A *
  27  69   H-S     2.78990 A *
  28  70   H-S     2.78990 A *
  14  20   H-H     2.84014 A *
  17  40   H-H     2.84014 A *
  18  23   H-H     2.84014 A *
  19  43   H-H     2.84014 A *
  24  31   H-H     2.84016 A  
  25  38   H-H     2.84016 A *
  30  33   H-H     2.84016 A *
  34  39   H-H     2.84016 A *
  14  23   H-H     2.85466 A *
  23  43   H-H     2.85466 A *
  14  40   H-H     2.85466 A *
  40  43   H-H     2.85466 A *
  24  33   H-H     2.85504 A *
  24  34   H-H     2.85504 A *
  25  33   H-H     2.85504 A *
  25  34   H-H     2.85504 A *
  27  62   H-Ni    2.90620 A *
  29  62   H-Ni    2.90620 A *
  26  62   H-Ni    2.90620 A *
  28  62   H-Ni    2.90620 A *
  21  61   H-Ni    2.90644 A *
  22  61   H-Ni    2.90644 A  
  41  61   H-Ni    2.90644 A *
  42  61   H-Ni    2.90644 A *
  30  65   H-S     2.93138 A  
  31  69   H-S     2.93138 A  
  38  68   H-S     2.93138 A  
  39  70   H-S     2.93138 A  
  17  63   H-S     2.93187 A  
  18  64   H-S     2.93187 A  
  19  67   H-S     2.93187 A  
  20  66   H-S     2.93187 A  
  21  22   H-H     2.96373 A *
  21  41   H-H     2.96373 A *
  22  42   H-H     2.96373 A *
  41  42   H-H     2.96373 A *
  26  28   H-H     2.96432 A *
  26  29   H-H     2.96432 A *
  27  28   H-H     2.96432 A *
  27  29   H-H     2.96432 A *

Nearest neighbors for each atom (up to 4)

 atom   1 species C  : neighbors at    1.330   1.339   1.728   2.029 A
         d(center): 3.359 A  angles  :   119.7   121.9    26.5   118.3   146.1    95.5
 atom   2 species C  : neighbors at    1.330   1.339   1.728   2.029 A
         d(center): 3.359 A  angles  :   119.7   121.9    26.5   118.3   146.1    95.5
 atom   3 species C  : neighbors at    1.330   1.339   1.728   2.030 A
         d(center): 8.331 A  angles  :   119.8   121.9    26.5   118.3   146.0    95.6
 atom   4 species C  : neighbors at    1.330   1.339   1.728   2.029 A
         d(center): 3.359 A  angles  :   119.7   121.9    26.5   118.3   146.1    95.5
 atom   5 species C  : neighbors at    1.330   1.339   1.728   2.029 A
         d(center): 3.359 A  angles  :   119.7   121.9    26.5   118.3   146.1    95.5
 atom   6 species C  : neighbors at    1.330   1.339   1.728   2.030 A
         d(center): 6.449 A  angles  :   119.8   121.9    26.5   118.3   146.0    95.6
 atom   7 species C  : neighbors at    1.330   1.339   1.728   2.030 A
         d(center):11.208 A  angles  :   119.8   121.9    26.5   118.3   146.0    95.6
 atom   8 species C  : neighbors at    1.330   1.339   1.728   2.030 A
         d(center): 9.889 A  angles  :   119.8   121.9    26.5   118.3   146.0    95.6
 atom   9 species Cl : neighbors at    2.177   2.177   2.177   2.177 A
         d(center): 2.889 A  angles  :    82.0    82.0   136.1   136.1    82.0    82.0
 atom  10 species Cl : neighbors at    2.197   2.197   2.197   2.197 A
         d(center): 2.794 A  angles  :   145.1    84.8    84.8    84.8    84.8   145.1
 atom  11 species Cl : neighbors at    2.177   2.177   2.177   2.177 A
         d(center): 6.946 A  angles  :    81.9    81.9   136.0   136.0    81.9    81.9
 atom  12 species Cl : neighbors at    2.197   2.197   2.197   2.197 A
         d(center): 9.937 A  angles  :   145.2    84.9    84.9    84.9    84.9   145.2
 atom  13 species H  : neighbors at    1.013   1.750   2.035   2.729 A
         d(center): 7.533 A  angles  :    31.5    35.1    74.3    65.5   104.5    39.2
 atom  14 species H  : neighbors at    1.032   1.750   2.061   2.177 A
         d(center): 9.220 A  angles  :    30.8    34.2   164.8    63.9   152.4   133.8
 atom  15 species H  : neighbors at    1.013   1.749   2.035   2.730 A
         d(center): 4.849 A  angles  :    31.5    35.1    74.2    65.5   104.5    39.2
 atom  16 species H  : neighbors at    1.013   1.749   2.035   2.730 A
         d(center): 4.849 A  angles  :    31.5    35.1    74.2    65.5   104.5    39.2
 atom  17 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 3.597 A  angles  :    30.3    33.0    87.8    63.3   118.2    54.8
 atom  18 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 3.597 A  angles  :    30.3    33.0    87.8    63.3   118.2    54.8
 atom  19 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 3.597 A  angles  :    30.3    33.0    87.8    63.3   118.2    54.8
 atom  20 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 3.597 A  angles  :    30.3    33.0    87.8    63.3   118.2    54.8
 atom  21 species H  : neighbors at    1.027   1.771   2.029   2.197 A
         d(center): 8.488 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  22 species H  : neighbors at    1.027   1.771   2.029   2.197 A
         d(center): 2.992 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  23 species H  : neighbors at    1.032   1.750   2.061   2.177 A
         d(center): 5.651 A  angles  :    30.8    34.2   164.8    63.9   152.4   133.8
 atom  24 species H  : neighbors at    1.032   1.749   2.061   2.177 A
         d(center): 5.364 A  angles  :    30.9    34.2   164.8    64.0   152.4   133.8
