Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  13  61  Cl-H     2.36296 A *
  14  29  Cl-H     2.36296 A *
  15  26  Cl-H     2.36296 A  
  34  36   H-H     2.40042 A  
  36  37   H-H     2.40042 A  
  74  78   H-H     2.40042 A  
  78  79   H-H     2.40042 A  
   7  11   H-H     2.40051 A  
  44  45   H-H     2.40051 A  
   6   7   H-H     2.40051 A  
  42  44   H-H     2.40051 A  
  18  20   H-H     2.40053 A  
  20  21   H-H     2.40053 A  
  51  53   H-H     2.40053 A  
  53  54   H-H     2.40053 A  
  26  28   H-H     2.40058 A  
  28  29   H-H     2.40058 A  
  61  63   H-H     2.40058 A  
  63  64   H-H     2.40058 A  
  41  45   H-H     2.42612 A  
  42  43   H-H     2.42612 A  
   6  12   H-H     2.42612 A  
   8  11   H-H     2.42612 A  
  33  37   H-H     2.42614 A  
  34  35   H-H     2.42614 A  
  73  79   H-H     2.42614 A  
  74  77   H-H     2.42614 A  
  17  21   H-H     2.42617 A  
  18  19   H-H     2.42617 A  
  50  54   H-H     2.42617 A  
  51  52   H-H     2.42617 A  
  25  29   H-H     2.42618 A  
  26  27   H-H     2.42618 A  
  60  64   H-H     2.42618 A  
  61  62   H-H     2.42618 A  
  16  28  Cl-H     2.43555 A *
   2  63  Cl-H     2.43555 A *
   7  68   H-Cl    2.43602 A  
  44  59   H-Cl    2.43602 A  
  20  69   H-Cl    2.43621 A *
  53  83   H-Cl    2.43621 A *
  36  49   H-Cl    2.43666 A  
  58  78  Cl-H     2.43666 A  
   5  12   H-H     2.50274 A  
  43  46   H-H     2.50274 A  
   5   8   H-H     2.50274 A  
  41  46   H-H     2.50274 A  
  73  80   H-H     2.50278 A  
  77  80   H-H     2.50278 A  
  33  38   H-H     2.50278 A  
  35  38   H-H     2.50278 A  
  17  22   H-H     2.50280 A  
  19  22   H-H     2.50280 A  
  52  55   H-H     2.50280 A  
  50  55   H-H     2.50280 A  
  60  65   H-H     2.50284 A  
  62  65   H-H     2.50284 A  
  25  30   H-H     2.50284 A  
  27  30   H-H     2.50284 A  
  70  75  Cl-Mn    2.58150 A *
  71  75  Cl-Mn    2.58150 A  
  75  84  Mn-Cl    2.58150 A *
  72  75  Cl-Mn    2.58150 A  
   1  10  Cl-Mn    2.58164 A  
  10  15  Mn-Cl    2.58164 A *
  10  14  Mn-Cl    2.58164 A *
  10  13  Mn-Cl    2.58164 A  
   9  14  Mn-Cl    2.58171 A *
   9  15  Mn-Cl    2.58171 A *
   9  13  Mn-Cl    2.58171 A *
   1   9  Cl-Mn    2.58171 A  
  70  76  Cl-Mn    2.58188 A *
  71  76  Cl-Mn    2.58188 A *
  72  76  Cl-Mn    2.58188 A  
  76  84  Mn-Cl    2.58188 A  
   8  35   H-H     2.67876 A *
  41  73   H-H     2.67876 A *
  12  33   H-H     2.67876 A *
  43  77   H-H     2.67876 A *
  17  60   H-H     2.67905 A  
  19  62   H-H     2.67905 A *
  25  50   H-H     2.67905 A *
  27  52   H-H     2.67905 A  
  14  61  Cl-H     2.80577 A *
  15  64  Cl-H     2.80577 A *
  13  29  Cl-H     2.80577 A *
   1  26  Cl-H     2.80577 A *
   1  45  Cl-H     2.80675 A *
   6  14   H-Cl    2.80675 A *
  11  15   H-Cl    2.80675 A *
  13  42  Cl-H     2.80675 A *
  18  84   H-Cl    2.80699 A  
  21  72   H-Cl    2.80699 A  
  51  71   H-Cl    2.80699 A  
  54  70   H-Cl    2.80699 A  
  37  84   H-Cl    2.80817 A *
  34  72   H-Cl    2.80817 A *
  70  74  Cl-H     2.80817 A *
  71  79  Cl-H     2.80817 A *
  26  59   H-Cl    2.90715 A  
  29  59   H-Cl    2.90715 A *
  61  68   H-Cl    2.90715 A *
  64  68   H-Cl    2.90715 A  
   2   6  Cl-H     2.90731 A *
   2  11  Cl-H     2.90731 A *
  16  42  Cl-H     2.90731 A *
  16  45  Cl-H     2.90731 A *
  18  49   H-Cl    2.90732 A *
  21  49   H-Cl    2.90732 A  
  54  58   H-Cl    2.90732 A *
  51  58   H-Cl    2.90732 A  
  37  69   H-Cl    2.90736 A *
  74  83   H-Cl    2.90736 A *
  34  69   H-Cl    2.90736 A *
  79  83   H-Cl    2.90736 A *
  43  45   H-H     2.97985 A  
  11  12   H-H     2.97985 A  
  41  42   H-H     2.97985 A  
   6   8   H-H     2.97985 A  
  33  34   H-H     2.97991 A  
  35  37   H-H     2.97991 A  
  73  74   H-H     2.97991 A  
  77  79   H-H     2.97991 A  
  17  18   H-H     2.97991 A  
  19  21   H-H     2.97991 A  
  50  51   H-H     2.97991 A  
  52  54   H-H     2.97991 A  
  25  26   H-H     2.97995 A  
  27  29   H-H     2.97995 A  
  60  61   H-H     2.97995 A  
