['N', '1']:		 [-1.56420488 -3.89377256 -5.45797744]
['N', '3']:		 [-0.2492325  -0.40008375 -0.64931625]
['N', '4']:		 [-1.43255024 -3.84792488 -5.28047512]
['N', '6']:		 [-0.22291346 -0.47384327 -0.69675673]
['N', '23']:		 [-0.22291346 -0.47384327 -0.69675673]
['N', '25']:		 [-1.43255024 -3.84792488 -5.28047512]
['N', '26']:		 [-0.2492325  -0.40008375 -0.64931625]
['N', '28']:		 [-1.56420488 -3.89377256 -5.45797744]
['N', '37']:		 [-0.22291346 -0.47384327 -0.69675673]
['N', '39']:		 [-1.43255024 -3.84792488 -5.28047512]
['N', '40']:		 [-0.2492325  -0.40008375 -0.64931625]
['N', '42']:		 [-1.56420488 -3.89377256 -5.45797744]
['N', '51']:		 [-0.22291346 -0.47384327 -0.69675673]
['N', '53']:		 [-1.43255024 -3.84792488 -5.28047512]
['N', '54']:		 [-0.2492325  -0.40008375 -0.64931625]
['N', '56']:		 [-1.56420488 -3.89377256 -5.45797744]
