Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  18  21   O-C     2.53970 A  
  32  35   O-C     2.53970 A  
  46  49   O-C     2.53970 A  
  10  11   H-O     2.54632 A  
  18  19   O-H     2.54632 A  
  32  33   O-H     2.54632 A  
  46  47   O-H     2.54632 A  
  12  35   C-C     2.56821 A  
   8  31   C-C     2.56821 A  
  17  49   C-C     2.56821 A  
  21  45   C-C     2.56821 A  
  10  52   H-O     2.57981 A *
  19  38   H-O     2.57981 A *
   5  47   O-H     2.57981 A *
  24  33   O-H     2.57981 A  
   8  13   C-H     2.58294 A  
  30  35   H-C     2.58294 A  
  16  21   H-C     2.58294 A  
  44  49   H-C     2.58294 A  
   6   9   N-H     2.58906 A  
  20  23   H-N     2.58906 A  
  48  51   H-N     2.58906 A  
  34  37   H-N     2.58906 A  
  31  34   C-H     2.58965 A  
   9  12   H-C     2.58965 A  
  17  20   C-H     2.58965 A  
  45  48   C-H     2.58965 A  
  49  50   C-O     2.60234 A  
   7   8   O-C     2.60234 A  
  21  22   C-O     2.60234 A  
  35  36   C-O     2.60234 A  
  17  27   C-O     2.62973 A  
  45  55   C-O     2.62973 A  
  31  41   C-O     2.62973 A  
   2  12   O-C     2.62973 A  
  15  26   H-N     2.63836 A  
  29  40   H-N     2.63836 A  
  43  54   H-N     2.63836 A  
   3  14   N-H     2.63836 A  
  10  27   H-O     2.64110 A *
   2  19   O-H     2.64110 A *
  41  47   O-H     2.64110 A *
  33  55   H-O     2.64110 A  
  33  37   H-N     2.66044 A  
  19  23   H-N     2.66044 A  
  47  51   H-N     2.66044 A  
   6  10   N-H     2.66044 A  
  12  38   C-O     2.68551 A  
  17  52   C-O     2.68551 A  
  24  45   O-C     2.68551 A  
   5  31   O-C     2.68551 A  
   7  15   O-H     2.68725 A *
  14  22   H-O     2.68725 A *
  36  43   O-H     2.68725 A *
  29  50   H-O     2.68725 A *
  14  27   H-O     2.68782 A *
   2  15   O-H     2.68782 A *
  41  43   O-H     2.68782 A *
  29  55   H-O     2.68782 A *
   9  22   H-O     2.69222 A *
   7  20   O-H     2.69222 A *
  34  50   H-O     2.69222 A *
  36  48   O-H     2.69222 A *
  13  32   H-O     2.69607 A *
  16  46   H-O     2.69607 A *
  18  44   O-H     2.69607 A *
  11  30   O-H     2.69607 A *
  13  42   H-N     2.75440 A  
   1  30   N-H     2.75440 A  
  28  44   N-H     2.75440 A  
  16  56   H-N     2.75440 A  
   1  42   N-N     2.75857 A  
  28  56   N-N     2.75857 A  
   1  31   N-C     2.77045 A  
  12  42   C-N     2.77045 A  
  17  56   C-N     2.77045 A  
  28  45   N-C     2.77045 A  
  13  22   H-O     2.84477 A *
   7  16   O-H     2.84477 A *
  36  44   O-H     2.84477 A *
  30  50   H-O     2.84477 A *
   8  30   C-H     2.86075 A  
  13  35   H-C     2.86075 A  
  16  49   H-C     2.86075 A  
  21  44   C-H     2.86075 A  
  10  15   H-H     2.91557 A *
  14  19   H-H     2.91557 A *
  29  47   H-H     2.91557 A *
  33  43   H-H     2.91557 A  
   2  39   O-N     2.94627 A  
  25  55   N-O     2.94627 A  
  27  53   O-N     2.94627 A  
   4  41   N-O     2.94627 A  
   1  35   N-C     2.96519 A  
   8  42   C-N     2.96519 A  
  28  49   N-C     2.96519 A  
  21  56   C-N     2.96519 A  
  23  48   N-H     2.96634 A *
   6  34   N-H     2.96634 A *
   9  37   H-N     2.96634 A *
  20  51   H-N     2.96634 A *
  12  22   C-O     2.98254 A *
   7  17   O-C     2.98254 A *
  36  45   O-C     2.98254 A *
  31  50   C-O     2.98254 A *
  13  40   H-N     2.98809 A  
  16  54   H-N     2.98809 A  
  26  44   N-H     2.98809 A  
   3  30   N-H     2.98809 A  
  27  51   O-N     2.99718 A  
  23  55   N-O     2.99718 A  
   2  37   O-N     2.99718 A  
   6  41   N-O     2.99718 A  
   2   9   O-H     2.99847 A *
  20  27   H-O     2.99847 A *
  48  55   H-O     2.99847 A *
  34  41   H-O     2.99847 A *

Nearest neighbors for each atom (up to 4)

 atom   1 species N  : neighbors at    1.369   1.433   1.457   1.982 A
         d(center): 7.652 A  angles  :   117.7   118.7   140.4   122.8    27.4    96.5
 atom   2 species O  : neighbors at    1.232   2.179   2.217   2.510 A
         d(center): 8.577 A  angles  :    26.6    33.5    82.0    60.1   107.8    50.3
 atom   3 species N  : neighbors at    1.211   1.232   1.369   2.398 A
         d(center): 8.613 A  angles  :   126.2   117.0    85.6   116.8   148.0    31.9
 atom   4 species N  : neighbors at    1.360   1.457   1.473   1.965 A
         d(center): 7.946 A  angles  :   118.2   115.5   132.2   122.4    28.2   111.8
 atom   5 species O  : neighbors at    1.225   2.185   2.226   2.229 A
         d(center): 8.744 A  angles  :    27.4    32.4    84.0    59.8   110.7    53.0
 atom   6 species N  : neighbors at    1.225   1.233   1.360   2.396 A
         d(center): 8.558 A  angles  :   125.4   118.8   152.5   115.8    82.1    33.7
 atom   7 species O  : neighbors at    1.211   2.179   2.202   2.336 A
         d(center): 9.560 A  angles  :    27.1    33.7    82.4    60.8   108.0    51.7
 atom   8 species C  : neighbors at    0.970   0.970   1.433   1.473 A
         d(center): 8.126 A  angles  :   108.2   109.7   109.7   109.7   109.7   109.9
 atom   9 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 7.830 A  angles  :    35.9    42.9    43.4    66.7    67.1    73.0
 atom  10 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 9.088 A  angles  :    35.9    42.9    43.4    66.6    67.1    73.0
 atom  11 species O  : neighbors at    1.233   2.185   2.197   2.432 A
         d(center): 9.150 A  angles  :    27.2    33.9    83.0    61.1   109.1    51.4
 atom  12 species C  : neighbors at    0.968   0.970   1.457   1.457 A
         d(center): 6.563 A  angles  :   108.3   108.2   111.6   106.4   110.1   112.0
 atom  13 species H  : neighbors at    0.970   1.571   1.965   2.008 A
         d(center): 6.157 A  angles  :    35.8    45.3    43.0    67.3    67.6    74.9
 atom  14 species H  : neighbors at    0.968   1.571   1.986   2.025 A
         d(center): 7.007 A  angles  :    35.9    44.2    42.0    65.9    66.5    74.1
 atom  15 species H  : neighbors at    0.968   1.571   1.986   2.025 A
         d(center): 4.549 A  angles  :    35.9    44.2    42.0    65.9    66.5    74.1
 atom  16 species H  : neighbors at    0.970   1.571   1.965   2.008 A
         d(center): 3.275 A  angles  :    35.8    45.3    43.0    67.3    67.6    74.9
 atom  17 species C  : neighbors at    0.968   0.970   1.457   1.457 A
         d(center): 3.870 A  angles  :   108.3   108.2   111.6   106.4   110.1   112.0
 atom  18 species O  : neighbors at    1.233   2.185   2.197   2.432 A
         d(center): 1.840 A  angles  :    27.2    33.9    83.0    61.1   109.1    51.4
 atom  19 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 2.830 A  angles  :    35.9    42.9    43.4    66.6    67.1    73.0
 atom  20 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 1.628 A  angles  :    35.9    42.9    43.4    66.7    67.1    73.0
 atom  21 species C  : neighbors at    0.970   0.970   1.433   1.473 A
         d(center): 2.347 A  angles  :   108.2   109.7   109.7   109.7   109.7   109.9
 atom  22 species O  : neighbors at    1.211   2.179   2.202   2.336 A
         d(center): 4.923 A  angles  :    27.1    33.7    82.4    60.8   108.0    51.7
 atom  23 species N  : neighbors at    1.225   1.233   1.360   2.396 A
         d(center): 2.259 A  angles  :   125.4   118.8   152.5   115.8    82.1    33.7
 atom  24 species O  : neighbors at    1.225   2.185   2.226   2.229 A
         d(center): 3.231 A  angles  :    27.4    32.4    84.0    59.8   110.7    53.0
 atom  25 species N  : neighbors at    1.360   1.457   1.473   1.965 A
         d(center): 2.502 A  angles  :   118.2   115.5   132.2   122.4    28.2   111.8
 atom  26 species N  : neighbors at    1.211   1.232   1.369   2.398 A
         d(center): 4.697 A  angles  :   126.2   117.0    85.6   116.8   148.0    31.9
 atom  27 species O  : neighbors at    1.232   2.179   2.217   2.510 A
         d(center): 5.698 A  angles  :    26.6    33.5    82.0    60.1   107.8    50.3
 atom  28 species N  : neighbors at    1.369   1.433   1.457   1.982 A
         d(center): 3.489 A  angles  :   117.7   118.7   140.4   122.8    27.4    96.5
 atom  29 species H  : neighbors at    0.968   1.571   1.986   2.025 A
         d(center): 7.238 A  angles  :    35.9    44.2    42.0    65.9    66.5    74.1
 atom  30 species H  : neighbors at    0.970   1.571   1.965   2.008 A
         d(center): 7.566 A  angles  :    35.8    45.3    43.0    67.3    67.6    74.9
 atom  31 species C  : neighbors at    0.968   0.970   1.457   1.457 A
         d(center): 7.089 A  angles  :   108.3   108.2   111.6   106.4   110.1   112.0
 atom  32 species O  : neighbors at    1.233   2.185   2.197   2.432 A
         d(center): 5.799 A  angles  :    27.2    33.9    83.0    61.1   109.1    51.4
 atom  33 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 4.460 A  angles  :    35.9    42.9    43.4    66.6    67.1    73.0
 atom  34 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 6.023 A  angles  :    35.9    42.9    43.4    66.7    67.1    73.0
 atom  35 species C  : neighbors at    0.970   0.970   1.433   1.473 A
         d(center): 5.325 A  angles  :   108.2   109.7   109.7   109.7   109.7   109.9
 atom  36 species O  : neighbors at    1.211   2.179   2.202   2.336 A
         d(center): 3.863 A  angles  :    27.1    33.7    82.4    60.8   108.0    51.7
 atom  37 species N  : neighbors at    1.225   1.233   1.360   2.396 A
         d(center): 5.905 A  angles  :   125.4   118.8   152.5   115.8    82.1    33.7
 atom  38 species O  : neighbors at    1.225   2.185   2.226   2.229 A
         d(center): 6.518 A  angles  :    27.4    32.4    84.0    59.8   110.7    53.0
 atom  39 species N  : neighbors at    1.360   1.457   1.473   1.965 A
         d(center): 5.647 A  angles  :   118.2   115.5   132.2   122.4    28.2   111.8
 atom  40 species N  : neighbors at    1.211   1.232   1.369   2.398 A
         d(center): 4.969 A  angles  :   126.2   117.0    85.6   116.8   148.0    31.9
 atom  41 species O  : neighbors at    1.232   2.179   2.217   2.510 A
         d(center): 5.736 A  angles  :    26.6    33.5    82.0    60.1   107.8    50.3
 atom  42 species N  : neighbors at    1.369   1.433   1.457   1.982 A
         d(center): 5.709 A  angles  :   117.7   118.7   140.4   122.8    27.4    96.5
 atom  43 species H  : neighbors at    0.968   1.571   1.986   2.025 A
         d(center): 3.843 A  angles  :    35.9    44.2    42.0    65.9    66.5    74.1
 atom  44 species H  : neighbors at    0.970   1.571   1.965   2.008 A
         d(center): 4.290 A  angles  :    35.8    45.3    43.0    67.3    67.6    74.9
 atom  45 species C  : neighbors at    0.968   0.970   1.457   1.457 A
         d(center): 3.511 A  angles  :   108.3   108.2   111.6   106.4   110.1   112.0
 atom  46 species O  : neighbors at    1.233   2.185   2.197   2.432 A
         d(center): 6.924 A  angles  :    27.2    33.9    83.0    61.1   109.1    51.4
 atom  47 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 5.333 A  angles  :    35.9    42.9    43.4    66.6    67.1    73.0
 atom  48 species H  : neighbors at    0.970   1.571   1.982   2.018 A
         d(center): 5.378 A  angles  :    35.9    42.9    43.4    66.7    67.1    73.0
 atom  49 species C  : neighbors at    0.970   0.970   1.433   1.473 A
         d(center): 4.780 A  angles  :   108.2   109.7   109.7   109.7   109.7   109.9
 atom  50 species O  : neighbors at    1.211   2.179   2.202   2.336 A
         d(center): 4.006 A  angles  :    27.1    33.7    82.4    60.8   108.0    51.7
 atom  51 species N  : neighbors at    1.225   1.233   1.360   2.396 A
         d(center): 6.080 A  angles  :   125.4   118.8   152.5   115.8    82.1    33.7
 atom  52 species O  : neighbors at    1.225   2.185   2.226   2.229 A
         d(center): 6.516 A  angles  :    27.4    32.4    84.0    59.8   110.7    53.0
 atom  53 species N  : neighbors at    1.360   1.457   1.473   1.965 A
         d(center): 4.769 A  angles  :   118.2   115.5   132.2   122.4    28.2   111.8
 atom  54 species N  : neighbors at    1.211   1.232   1.369   2.398 A
         d(center): 3.283 A  angles  :   126.2   117.0    85.6   116.8   148.0    31.9
 atom  55 species O  : neighbors at    1.232   2.179   2.217   2.510 A
         d(center): 2.822 A  angles  :    26.6    33.5    82.0    60.1   107.8    50.3
 atom  56 species N  : neighbors at    1.369   1.433   1.457   1.982 A
         d(center): 3.598 A  angles  :   117.7   118.7   140.4   122.8    27.4    96.5
