Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  47  54   H-N     2.53461 A  
   3  10   N-H     2.53477 A  
  33  40   H-N     2.53477 A  
  31  35   C-C     2.56081 A  
   8  12   C-C     2.56081 A  
  17  21   C-C     2.56085 A  
  45  49   C-C     2.56085 A  
  12  35   C-C     2.56217 A  
   8  31   C-C     2.56217 A  
  17  49   C-C     2.56218 A  
  21  45   C-C     2.56218 A  
  18  21   O-C     2.57685 A  
  46  49   O-C     2.57685 A  
   8  11   C-O     2.57694 A  
  32  35   O-C     2.57694 A  
   8  13   C-H     2.57941 A  
  30  35   H-C     2.57941 A  
  44  49   H-C     2.57946 A  
  16  21   H-C     2.57946 A  
   2  14   O-H     2.58714 A  
  29  41   H-O     2.58714 A  
  15  27   H-O     2.58717 A  
  43  55   H-O     2.58717 A  
  14  22   H-O     2.59645 A *
  29  50   H-O     2.59645 A *
  36  43   O-H     2.59653 A *
   7  15   O-H     2.59653 A *
  17  20   C-H     2.61411 A  
  45  48   C-H     2.61411 A  
   9  12   H-C     2.61416 A  
  31  34   C-H     2.61416 A  
  21  22   C-O     2.61490 A  
  49  50   C-O     2.61490 A  
   7   8   O-C     2.61495 A  
  35  36   C-O     2.61495 A  
  20  23   H-N     2.61621 A  
  48  51   H-N     2.61621 A  
  34  37   H-N     2.61633 A  
   6   9   N-H     2.61633 A  
  14  27   H-O     2.62030 A *
  29  55   H-O     2.62030 A *
   2  15   O-H     2.62034 A *
  41  43   O-H     2.62034 A *
  31  41   C-O     2.66938 A  
   2  12   O-C     2.66938 A  
  45  55   C-O     2.66939 A  
  17  27   C-O     2.66939 A  
   5  31   O-C     2.72103 A  
  12  38   C-O     2.72103 A  
  24  45   O-C     2.72109 A  
  17  52   C-O     2.72109 A  
  46  47   O-H     2.72212 A  
  18  19   O-H     2.72212 A  
  10  11   H-O     2.72213 A  
  32  33   O-H     2.72213 A  
   7  20   O-H     2.73533 A *
  36  48   O-H     2.73533 A *
   9  22   H-O     2.73548 A *
  34  50   H-O     2.73548 A *
   3  14   N-H     2.74449 A  
  29  40   H-N     2.74449 A  
  15  26   H-N     2.74459 A  
  43  54   H-N     2.74459 A  
  16  56   H-N     2.77749 A  
  28  44   N-H     2.77749 A  
   1  30   N-H     2.77758 A  
  13  42   H-N     2.77758 A  
  17  56   C-N     2.78168 A  
  28  45   N-C     2.78168 A  
  12  42   C-N     2.78176 A  
   1  31   N-C     2.78176 A  
  28  56   N-N     2.79003 A  
   1  42   N-N     2.79016 A  
  23  48   N-H     2.79082 A *
  20  51   H-N     2.79082 A *
   6  34   N-H     2.79093 A *
   9  37   H-N     2.79093 A *
  19  23   H-N     2.79110 A  
  47  51   H-N     2.79110 A  
  33  37   H-N     2.79122 A  
   6  10   N-H     2.79122 A  
   2  37   O-N     2.84338 A  
   6  41   N-O     2.84338 A  
  23  55   N-O     2.84348 A  
  27  51   O-N     2.84348 A  
  10  15   H-H     2.84602 A *
  33  43   H-H     2.84602 A  
  14  19   H-H     2.84606 A *
  29  47   H-H     2.84606 A *
   7  30   O-H     2.86824 A  
  13  36   H-O     2.86824 A  
  16  50   H-O     2.86825 A  
  22  44   O-H     2.86825 A  
  13  22   H-O     2.88497 A *
  30  50   H-O     2.88497 A *
   7  16   O-H     2.88498 A *
  36  44   O-H     2.88498 A *
  13  40   H-N     2.88890 A  
   3  30   N-H     2.88890 A  
  16  54   H-N     2.88906 A  
  26  44   N-H     2.88906 A  
  14  26   H-N     2.92015 A *
  29  54   H-N     2.92015 A *
   3  15   N-H     2.92030 A *
  40  43   N-H     2.92030 A *
  16  49   H-C     2.92919 A  
  21  44   C-H     2.92919 A  
   8  30   C-H     2.92919 A  
  13  35   H-C     2.92919 A  
  25  55   N-O     2.94687 A  
  27  53   O-N     2.94687 A  
   4  41   N-O     2.94687 A  
   2  39   O-N     2.94687 A  
  48  55   H-O     2.95702 A *
  20  27   H-O     2.95702 A *
   2   9   O-H     2.95707 A *
  34  41   H-O     2.95707 A *
   5  41   O-O     2.95926 A  
   2  38   O-O     2.95926 A  
  24  55   O-O     2.95930 A  
  27  52   O-O     2.95930 A  
  12  22   C-O     2.96472 A *
  31  50   C-O     2.96472 A *
  36  45   O-C     2.96473 A *
   7  17   O-C     2.96473 A *
   7  28   O-N     2.96710 A *
  36  56   O-N     2.96710 A *
   1  22   N-O     2.96711 A *
  42  50   N-O     2.96711 A *
  21  56   C-N     2.99096 A  
  28  49   N-C     2.99096 A  
   1  35   N-C     2.99098 A  
   8  42   C-N     2.99098 A  

Nearest neighbors for each atom (up to 4)

 atom   1 species N  : neighbors at    1.385   1.441   1.465   2.051 A
         d(center): 7.640 A  angles  :   117.0   119.3   143.0   123.6    30.6    94.6
 atom   2 species O  : neighbors at    1.244   2.214   2.240   2.428 A
         d(center): 8.543 A  angles  :    26.8    33.5   142.1    60.3   149.1   118.8
 atom   3 species N  : neighbors at    1.238   1.244   1.385   2.410 A
         d(center): 8.577 A  angles  :   126.3   116.9    85.2   116.8   148.3    32.2
 atom   4 species N  : neighbors at    1.393   1.453   1.486   2.063 A
         d(center): 7.979 A  angles  :   117.4   114.7    88.6   121.3    30.4   151.1
 atom   5 species O  : neighbors at    1.237   2.209   2.216   2.259 A
         d(center): 8.674 A  angles  :    27.4    86.0    32.9   112.5    60.3    54.9
 atom   6 species N  : neighbors at    1.237   1.249   1.393   2.425 A
         d(center): 8.470 A  angles  :   125.4   118.3   152.1   116.2    82.4    33.8
 atom   7 species O  : neighbors at    1.238   2.214   2.236   2.346 A
         d(center): 9.522 A  angles  :    26.9    33.5    84.0    60.4   108.9    54.0
 atom   8 species C  : neighbors at    1.093   1.093   1.441   1.486 A
         d(center): 8.143 A  angles  :   110.2   107.3   110.2   109.6   108.4   111.1
 atom   9 species H  : neighbors at    1.093   1.793   2.051   2.127 A
         d(center): 7.811 A  angles  :    34.9    42.2    41.0    65.2    64.3    70.6
 atom  10 species H  : neighbors at    1.093   1.793   2.081   2.104 A
         d(center): 9.228 A  angles  :    34.9    40.7    42.1    63.4    65.6    70.5
 atom  11 species O  : neighbors at    1.249   2.139   2.209   2.244 A
         d(center): 8.963 A  angles  :   108.0    27.2    33.8   101.4   112.1    61.0
 atom  12 species C  : neighbors at    1.094   1.103   1.453   1.465 A
         d(center): 6.508 A  angles  :   108.9   107.3   111.4   109.7   106.5   112.9
 atom  13 species H  : neighbors at    1.103   1.787   2.069   2.100 A
         d(center): 6.112 A  angles  :    35.4    42.8    40.6    66.4    63.5    71.4
 atom  14 species H  : neighbors at    1.094   1.787   2.063   2.124 A
         d(center): 6.985 A  angles  :    35.7    42.2    40.0    65.7    63.2    71.0
 atom  15 species H  : neighbors at    1.094   1.787   2.063   2.124 A
         d(center): 4.566 A  angles  :    35.7    42.2    39.9    65.7    63.2    71.0
 atom  16 species H  : neighbors at    1.103   1.787   2.069   2.100 A
         d(center): 3.083 A  angles  :    35.4    42.8    40.6    66.4    63.5    71.4
 atom  17 species C  : neighbors at    1.094   1.103   1.453   1.465 A
         d(center): 3.816 A  angles  :   108.9   107.3   111.4   109.7   106.5   112.9
 atom  18 species O  : neighbors at    1.248   2.139   2.209   2.244 A
         d(center): 1.668 A  angles  :   108.0    27.2    33.8   101.4   112.1    61.0
 atom  19 species H  : neighbors at    1.093   1.793   2.081   2.104 A
         d(center): 2.934 A  angles  :    34.9    40.7    42.1    63.4    65.6    70.5
 atom  20 species H  : neighbors at    1.093   1.793   2.051   2.127 A
         d(center): 1.533 A  angles  :    34.9    42.2    41.0    65.2    64.3    70.6
 atom  21 species C  : neighbors at    1.093   1.093   1.441   1.486 A
         d(center): 2.347 A  angles  :   110.2   107.2   110.2   109.6   108.4   111.1
