['N', '1']:		 [-1.12843239 -2.9948338  -4.1232662 ]
['N', '3']:		 [ 0.16339482  0.42620259  0.58959741]
['N', '4']:		 [-1.0765005  -2.93627475 -4.01277525]
['N', '6']:		 [ 0.14613259  0.4209587   0.5670913 ]
['N', '23']:		 [ 0.14613259  0.4209587   0.5670913 ]
['N', '25']:		 [-1.0765005  -2.93627475 -4.01277525]
['N', '26']:		 [ 0.16339482  0.42620259  0.58959741]
['N', '28']:		 [-1.12843239 -2.9948338  -4.1232662 ]
['N', '37']:		 [ 0.14613259  0.4209587   0.5670913 ]
['N', '39']:		 [-1.0765005  -2.93627475 -4.01277525]
['N', '40']:		 [ 0.16339482  0.42620259  0.58959741]
['N', '42']:		 [-1.12843239 -2.9948338  -4.1232662 ]
['N', '51']:		 [ 0.14613259  0.4209587   0.5670913 ]
['N', '53']:		 [-1.0765005  -2.93627475 -4.01277525]
['N', '54']:		 [ 0.16339482  0.42620259  0.58959741]
['N', '56']:		 [-1.12843239 -2.9948338  -4.1232662 ]
