['N', '13']:		 [-0.31383847 -0.65293076 -0.96676924]
['N', '14']:		 [-0.2775981  -0.62620095 -0.90379905]
['N', '15']:		 [-0.27961752 -0.70649124 -0.98610876]
['N', '16']:		 [-0.3285348 -0.6443076 -0.9728424]
['N', '17']:		 [-0.25349434 -0.63645283 -0.88994717]
['N', '18']:		 [-0.29418228 -0.67498386 -0.96916614]
['N', '67']:		 [-0.29418228 -0.67498386 -0.96916614]
['N', '68']:		 [-0.25349434 -0.63645283 -0.88994717]
['N', '69']:		 [-0.3285348 -0.6443076 -0.9728424]
['N', '70']:		 [-0.27961752 -0.70649124 -0.98610876]
['N', '71']:		 [-0.2775981  -0.62620095 -0.90379905]
['N', '72']:		 [-0.31383847 -0.65293076 -0.96676924]
['N', '109']:		 [-0.29418228 -0.67498386 -0.96916614]
['N', '110']:		 [-0.25349434 -0.63645283 -0.88994717]
['N', '111']:		 [-0.3285348 -0.6443076 -0.9728424]
['N', '112']:		 [-0.27961752 -0.70649124 -0.98610876]
['N', '113']:		 [-0.2775981  -0.62620095 -0.90379905]
['N', '114']:		 [-0.31383847 -0.65293076 -0.96676924]
['N', '151']:		 [-0.29418228 -0.67498386 -0.96916614]
['N', '152']:		 [-0.25349434 -0.63645283 -0.88994717]
['N', '153']:		 [-0.3285348 -0.6443076 -0.9728424]
['N', '154']:		 [-0.27961752 -0.70649124 -0.98610876]
['N', '155']:		 [-0.2775981  -0.62620095 -0.90379905]
['N', '156']:		 [-0.31383847 -0.65293076 -0.96676924]
