['N', '7']:		 [-1.81190602 -3.53869699 -5.35060301]
['N', '8']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '9']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '10']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '11']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '12']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '31']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '32']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '33']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '34']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '35']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '36']:		 [-1.81190602 -3.53869699 -5.35060301]
['N', '52']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '53']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '54']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '55']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '56']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '57']:		 [-1.81190602 -3.53869699 -5.35060301]
['N', '73']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '74']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '75']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '76']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '77']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '78']:		 [-1.81190602 -3.53869699 -5.35060301]
['N', '94']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '95']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '96']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '97']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '98']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '99']:		 [-1.81190602 -3.53869699 -5.35060301]
['N', '115']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '116']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '117']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '118']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '119']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '120']:		 [-1.81190602 -3.53869699 -5.35060301]
['N', '136']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '137']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '138']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '139']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '140']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '141']:		 [-1.81190602 -3.53869699 -5.35060301]
['N', '157']:		 [-0.26462874 -0.42216063 -0.68678937]
['N', '158']:		 [-0.23005675 -0.37584662 -0.60590337]
['N', '159']:		 [-0.27100447 -0.34479776 -0.61580224]
['N', '160']:		 [-1.74247187 -3.59366406 -5.33613594]
['N', '161']:		 [-1.86279545 -3.42377727 -5.28657273]
['N', '162']:		 [-1.81190602 -3.53869699 -5.35060301]
