['N', '13']:		 [-0.05932165 -0.71148918 -0.77081082]
['N', '14']:		 [-0.01579693 -0.69005153 -0.70584847]
['N', '15']:		 [-0.04397409 -0.75066296 -0.79463704]
['N', '16']:		 [-0.05786716 -0.71206642 -0.76993358]
['N', '17']:		 [-0.04175689 -0.68044655 -0.72220345]
['N', '18']:		 [-0.0385645  -0.73866775 -0.77723225]
['N', '67']:		 [-0.0385645  -0.73866775 -0.77723225]
['N', '68']:		 [-0.04175689 -0.68044655 -0.72220345]
['N', '69']:		 [-0.05786716 -0.71206642 -0.76993358]
['N', '70']:		 [-0.04397409 -0.75066296 -0.79463704]
['N', '71']:		 [-0.01579693 -0.69005153 -0.70584847]
['N', '72']:		 [-0.05932165 -0.71148918 -0.77081082]
['N', '109']:		 [-0.0385645  -0.73866775 -0.77723225]
['N', '110']:		 [-0.04175689 -0.68044655 -0.72220345]
['N', '111']:		 [-0.05786716 -0.71206642 -0.76993358]
['N', '112']:		 [-0.04397409 -0.75066296 -0.79463704]
['N', '113']:		 [-0.01579693 -0.69005153 -0.70584847]
['N', '114']:		 [-0.05932165 -0.71148918 -0.77081082]
['N', '151']:		 [-0.0385645  -0.73866775 -0.77723225]
['N', '152']:		 [-0.04175689 -0.68044655 -0.72220345]
['N', '153']:		 [-0.05786716 -0.71206642 -0.76993358]
['N', '154']:		 [-0.04397409 -0.75066296 -0.79463704]
['N', '155']:		 [-0.01579693 -0.69005153 -0.70584847]
['N', '156']:		 [-0.05932165 -0.71148918 -0.77081082]
