['N', '13']:		 [-0.31373923 -0.65290539 -0.96664461]
['N', '14']:		 [-0.27810401 -0.625348   -0.903452  ]
['N', '15']:		 [-0.28009932 -0.70595034 -0.98604966]
['N', '16']:		 [-0.32887813 -0.64376093 -0.97263907]
['N', '17']:		 [-0.25389867 -0.63587566 -0.88977434]
['N', '18']:		 [-0.29388692 -0.67505654 -0.96894346]
['N', '67']:		 [-0.29388692 -0.67505654 -0.96894346]
['N', '68']:		 [-0.25389867 -0.63587566 -0.88977434]
['N', '69']:		 [-0.32887813 -0.64376093 -0.97263907]
['N', '70']:		 [-0.28009932 -0.70595034 -0.98604966]
['N', '71']:		 [-0.27810401 -0.625348   -0.903452  ]
['N', '72']:		 [-0.31373923 -0.65290539 -0.96664461]
['N', '109']:		 [-0.29388692 -0.67505654 -0.96894346]
['N', '110']:		 [-0.25389867 -0.63587566 -0.88977434]
['N', '111']:		 [-0.32887813 -0.64376093 -0.97263907]
['N', '112']:		 [-0.28009932 -0.70595034 -0.98604966]
['N', '113']:		 [-0.27810401 -0.625348   -0.903452  ]
['N', '114']:		 [-0.31373923 -0.65290539 -0.96664461]
['N', '151']:		 [-0.29388692 -0.67505654 -0.96894346]
['N', '152']:		 [-0.25389867 -0.63587566 -0.88977434]
['N', '153']:		 [-0.32887813 -0.64376093 -0.97263907]
['N', '154']:		 [-0.28009932 -0.70595034 -0.98604966]
['N', '155']:		 [-0.27810401 -0.625348   -0.903452  ]
['N', '156']:		 [-0.31373923 -0.65290539 -0.96664461]
