['N', '2']:		 [-1.98429073 -3.25577964 -5.24007036]
['N', '3']:		 [-0.23433737 -0.31355631 -0.54789369]
['N', '7']:		 [-1.90126461 -3.35541769 -5.2566823 ]
['N', '10']:		 [-0.22888316 -0.38453342 -0.61341658]
['N', '12']:		 [-1.89560631 -3.43834685 -5.33395315]
['N', '13']:		 [-0.27847278 -0.30746361 -0.58593639]
['N', '17']:		 [-1.82723536 -3.56665732 -5.39389268]
['N', '18']:		 [-0.26057247 -0.38931376 -0.64988624]
['N', '22']:		 [-1.88612465 -3.40866268 -5.29478732]
['N', '23']:		 [-0.27560726 -0.35689637 -0.63250363]
['N', '27']:		 [-1.92548215 -3.26958392 -5.19506608]
['N', '28']:		 [-0.24059886 -0.36810057 -0.60869943]
['N', '57']:		 [-0.24059886 -0.36810057 -0.60869943]
['N', '58']:		 [-1.92548215 -3.26958392 -5.19506608]
['N', '62']:		 [-0.27560726 -0.35689637 -0.63250363]
['N', '63']:		 [-1.88612465 -3.40866268 -5.29478732]
['N', '67']:		 [-0.26057247 -0.38931376 -0.64988624]
['N', '68']:		 [-1.82723536 -3.56665732 -5.39389268]
['N', '72']:		 [-0.27847278 -0.30746361 -0.58593639]
['N', '73']:		 [-1.89560631 -3.43834685 -5.33395315]
['N', '75']:		 [-0.22888316 -0.38453342 -0.61341658]
['N', '78']:		 [-1.90126461 -3.35541769 -5.2566823 ]
['N', '82']:		 [-0.23433737 -0.31355631 -0.54789369]
['N', '83']:		 [-1.98429073 -3.25577964 -5.24007036]
['N', '99']:		 [-0.24059886 -0.36810057 -0.60869943]
['N', '100']:		 [-1.92548215 -3.26958392 -5.19506608]
['N', '104']:		 [-0.27560726 -0.35689637 -0.63250363]
['N', '105']:		 [-1.88612465 -3.40866268 -5.29478732]
['N', '109']:		 [-0.26057247 -0.38931376 -0.64988624]
['N', '110']:		 [-1.82723536 -3.56665732 -5.39389268]
['N', '114']:		 [-0.27847278 -0.30746361 -0.58593639]
['N', '115']:		 [-1.89560631 -3.43834685 -5.33395315]
['N', '117']:		 [-0.22888316 -0.38453342 -0.61341658]
['N', '120']:		 [-1.90126461 -3.35541769 -5.2566823 ]
['N', '124']:		 [-0.23433737 -0.31355631 -0.54789369]
['N', '125']:		 [-1.98429073 -3.25577964 -5.24007036]
['N', '141']:		 [-0.24059886 -0.36810057 -0.60869943]
['N', '142']:		 [-1.92548215 -3.26958392 -5.19506608]
['N', '146']:		 [-0.27560726 -0.35689637 -0.63250363]
['N', '147']:		 [-1.88612465 -3.40866268 -5.29478732]
['N', '151']:		 [-0.26057247 -0.38931376 -0.64988624]
['N', '152']:		 [-1.82723536 -3.56665732 -5.39389268]
['N', '156']:		 [-0.27847278 -0.30746361 -0.58593639]
['N', '157']:		 [-1.89560631 -3.43834685 -5.33395315]
['N', '159']:		 [-0.22888316 -0.38453342 -0.61341658]
['N', '162']:		 [-1.90126461 -3.35541769 -5.2566823 ]
['N', '166']:		 [-0.23433737 -0.31355631 -0.54789369]
['N', '167']:		 [-1.98429073 -3.25577964 -5.24007036]
