['N', '1']:		 [-1.56550887 -3.89664557 -5.46215443]
['N', '3']:		 [-0.25029859 -0.39947571 -0.64977429]
['N', '4']:		 [-1.43382269 -3.85066365 -5.28448635]
['N', '6']:		 [-0.22393578 -0.47333211 -0.69726789]
['N', '23']:		 [-0.22393578 -0.47333211 -0.69726789]
['N', '25']:		 [-1.43382269 -3.85066365 -5.28448635]
['N', '26']:		 [-0.25029859 -0.39947571 -0.64977429]
['N', '28']:		 [-1.56550887 -3.89664557 -5.46215443]
['N', '37']:		 [-0.22393578 -0.47333211 -0.69726789]
['N', '39']:		 [-1.43382269 -3.85066365 -5.28448635]
['N', '40']:		 [-0.25029859 -0.39947571 -0.64977429]
['N', '42']:		 [-1.56550887 -3.89664557 -5.46215443]
['N', '51']:		 [-0.22393578 -0.47333211 -0.69726789]
['N', '53']:		 [-1.43382269 -3.85066365 -5.28448635]
['N', '54']:		 [-0.25029859 -0.39947571 -0.64977429]
['N', '56']:		 [-1.56550887 -3.89664557 -5.46215443]
